"","","","","","","","","Survey","Question 1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q9","Q10","Q11","Q12","Q13","Q14","Q14"
"10/04/2022 10:15AM","10/04/2022 10:15AM","10/04/2022 09:36AM - 10/04/2022 10:36AM",16.788,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,3,4,2,1,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/04/2022 11:02AM","10/04/2022 11:03AM","10/04/2022 11:01AM - 10/04/2022 12:01PM",63.311,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,2,1,2,4,1,1,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/04/2022 2:35PM","10/04/2022 2:35PM","10/04/2022 1:37PM - 10/04/2022 2:37PM",14.826,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,4,4,1,3,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/04/2022 3:55PM","10/04/2022 3:56PM","10/04/2022 3:55PM - 10/04/2022 4:55PM",35.835,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,1,4,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/04/2022 7:27PM","10/04/2022 7:28PM","10/04/2022 7:17PM - 10/04/2022 8:17PM",34.836,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,3,4,2,2,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/04/2022 6:08PM","10/04/2022 6:08PM","10/04/2022 5:40PM - 10/04/2022 6:40PM",15.334,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,3,3,2,2,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/05/2022 09:14AM","10/05/2022 09:14AM","10/05/2022 09:14AM - 10/05/2022 10:14AM",15.916,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,2,4,2,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/05/2022 11:03AM","10/05/2022 11:03AM","10/05/2022 11:03AM - 10/05/2022 12:03PM",17.392,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,4,3,2,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/05/2022 1:50PM","10/05/2022 1:50PM","10/05/2022 1:50PM - 10/05/2022 2:50PM",27.246,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,2,4,2,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/05/2022 3:50PM","10/05/2022 3:50PM","10/05/2022 3:35PM - 10/05/2022 4:35PM",18.419,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,3,3,1,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/05/2022 5:13PM","10/05/2022 5:13PM","10/05/2022 5:13PM - 10/05/2022 6:13PM",17.313,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,2,4,3,2,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/05/2022 8:02PM","10/05/2022 8:02PM","10/05/2022 7:46PM - 10/05/2022 8:46PM",15.111,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,2,4,2,1,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/06/2022 09:16AM","10/06/2022 09:16AM","10/06/2022 09:16AM - 10/06/2022 10:16AM",14.481,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,4,4,2,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/06/2022 11:44AM","10/06/2022 11:45AM","10/06/2022 11:44AM - 10/06/2022 12:44PM",49.207,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,3,3,2,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/06/2022 2:06PM","10/06/2022 2:07PM","10/06/2022 1:49PM - 10/06/2022 2:49PM",48.683,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,3,3,2,2,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/06/2022 3:50PM","10/06/2022 3:51PM","10/06/2022 3:50PM - 10/06/2022 4:50PM",47.805,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,5,1,4,4,2,3,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/06/2022 5:47PM","10/06/2022 5:47PM","10/06/2022 5:32PM - 10/06/2022 6:32PM",31.593,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,4,4,2,2,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/06/2022 7:06PM","10/06/2022 7:06PM","10/06/2022 7:06PM - 10/06/2022 8:06PM",15.103,"Yes","633628d1ee0a2b0b324114c7","0.0","0.0","Participant 308",,1,4,1,2,4,2,4,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"09/30/2022 09:38AM","09/30/2022 09:39AM","09/30/2022 09:15AM - 09/30/2022 10:15AM",53.568,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,4,1,2,5,1,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"09/30/2022 11:29AM","09/30/2022 11:30AM","09/30/2022 11:28AM - 09/30/2022 12:28PM",43.512,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,5,2,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"09/30/2022 2:17PM","09/30/2022 2:18PM","09/30/2022 1:31PM - 09/30/2022 2:31PM",35.926,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,4,5,2,1,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"09/30/2022 3:04PM","09/30/2022 3:04PM","09/30/2022 3:00PM - 09/30/2022 4:00PM",38.113,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,5,6,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"09/30/2022 5:27PM","09/30/2022 5:27PM","09/30/2022 5:26PM - 09/30/2022 6:26PM",42.885,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",3,3,2,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"09/30/2022 7:22PM","09/30/2022 7:22PM","09/30/2022 7:21PM - 09/30/2022 8:21PM",20.786,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,6,6,5,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/01/2022 09:28AM","10/01/2022 09:28AM","10/01/2022 09:07AM - 10/01/2022 10:07AM",40.142,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",5,5,5,5,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/01/2022 11:48AM","10/01/2022 11:48AM","10/01/2022 11:36AM - 10/01/2022 12:36PM",26.877,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,5,6,5,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/01/2022 1:56PM","10/01/2022 1:57PM","10/01/2022 1:56PM - 10/01/2022 2:56PM",18.055,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,2,1,5,5,5,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/01/2022 4:11PM","10/01/2022 4:11PM","10/01/2022 3:58PM - 10/01/2022 4:58PM",24.15,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,6,6,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/01/2022 5:30PM","10/01/2022 5:30PM","10/01/2022 5:29PM - 10/01/2022 6:29PM",16.913,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,5,5,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/01/2022 7:36PM","10/01/2022 7:37PM","10/01/2022 7:36PM - 10/01/2022 8:36PM",20.714,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,5,3,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/02/2022 09:13AM","10/02/2022 09:13AM","10/02/2022 09:11AM - 10/02/2022 10:11AM",22.669,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,5,5,3,3,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/02/2022 11:06AM","10/02/2022 11:06AM","10/02/2022 11:05AM - 10/02/2022 12:05PM",20.507,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,4,1,3,3,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/02/2022 1:04PM","10/02/2022 1:04PM","10/02/2022 1:01PM - 10/02/2022 2:01PM",18.918,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,5,1,5,6,4,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/02/2022 3:17PM","10/02/2022 3:18PM","10/02/2022 3:06PM - 10/02/2022 4:06PM",16.984,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,3,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/02/2022 5:04PM","10/02/2022 5:04PM","10/02/2022 5:02PM - 10/02/2022 6:02PM",15.965,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,5,6,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/02/2022 7:30PM","10/02/2022 7:30PM","10/02/2022 7:29PM - 10/02/2022 8:29PM",16.138,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,5,6,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/03/2022 09:46AM","10/03/2022 09:46AM","10/03/2022 09:45AM - 10/03/2022 10:45AM",18.461,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,5,1,3,5,4,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/03/2022 11:29AM","10/03/2022 11:30AM","10/03/2022 11:26AM - 10/03/2022 12:26PM",15.038,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/03/2022 1:33PM","10/03/2022 1:33PM","10/03/2022 1:32PM - 10/03/2022 2:32PM",12.274,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,3,3,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/03/2022 3:55PM","10/03/2022 3:55PM","10/03/2022 3:54PM - 10/03/2022 4:54PM",16.271,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,5,1,5,6,5,6,,,,,,,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/03/2022 5:50PM","10/03/2022 5:50PM","10/03/2022 5:39PM - 10/03/2022 6:39PM",16.462,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,5,5,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/03/2022 7:58PM","10/03/2022 7:58PM","10/03/2022 7:42PM - 10/03/2022 8:42PM",13.923,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,5,5,3,3,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/04/2022 09:53AM","10/04/2022 09:54AM","10/04/2022 09:53AM - 10/04/2022 10:53AM",13.442,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,5,6,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/04/2022 11:48AM","10/04/2022 11:49AM","10/04/2022 11:38AM - 10/04/2022 12:38PM",26.861,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,5,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",4,4,3,3,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/04/2022 2:05PM","10/04/2022 2:05PM","10/04/2022 1:32PM - 10/04/2022 2:32PM",13.409,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,3,4,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/04/2022 4:09PM","10/04/2022 4:09PM","10/04/2022 3:53PM - 10/04/2022 4:53PM",14.681,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,5,1,4,5,4,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/04/2022 5:21PM","10/04/2022 5:21PM","10/04/2022 5:21PM - 10/04/2022 6:21PM",14.612,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,4,4,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/04/2022 7:33PM","10/04/2022 7:33PM","10/04/2022 7:32PM - 10/04/2022 8:32PM",13.286,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,3,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/05/2022 09:48AM","10/05/2022 09:48AM","10/05/2022 09:47AM - 10/05/2022 10:47AM",18.141,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,4,1,3,3,3,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/05/2022 11:39AM","10/05/2022 11:39AM","10/05/2022 11:29AM - 10/05/2022 12:29PM",16.799,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,4,4,5,3,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/05/2022 1:50PM","10/05/2022 1:50PM","10/05/2022 1:31PM - 10/05/2022 2:31PM",14.501,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,5,5,5,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/05/2022 3:24PM","10/05/2022 3:24PM","10/05/2022 3:23PM - 10/05/2022 4:23PM",26.3,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,4,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",3,3,5,3,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/05/2022 5:45PM","10/05/2022 5:46PM","10/05/2022 5:42PM - 10/05/2022 6:42PM",21.043,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",3,3,2,1,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/05/2022 8:09PM","10/05/2022 8:10PM","10/05/2022 7:49PM - 10/05/2022 8:49PM",15.607,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,5,6,2,1,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/06/2022 10:06AM","10/06/2022 10:06AM","10/06/2022 09:48AM - 10/06/2022 10:48AM",19.698,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,3,1,5,5,6,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/06/2022 11:15AM","10/06/2022 11:15AM","10/06/2022 11:14AM - 10/06/2022 12:14PM",14.299,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,2,3,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/06/2022 1:33PM","10/06/2022 1:34PM","10/06/2022 1:17PM - 10/06/2022 2:17PM",15.4,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,3,1,3,3,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/06/2022 3:40PM","10/06/2022 3:40PM","10/06/2022 3:39PM - 10/06/2022 4:39PM",17.703,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,2,2,1,5,6,7,5,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/06/2022 5:42PM","10/06/2022 5:42PM","10/06/2022 5:37PM - 10/06/2022 6:37PM",16.923,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,1,3,3,3,2,,,,,,,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"10/06/2022 7:12PM","10/06/2022 7:12PM","10/06/2022 7:11PM - 10/06/2022 8:11PM",21.055,"Yes","633631f7ee0a2b0b32412814",,,"Participant 309",,1,4,2,,,,,3,"ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”",5,5,3,5,2,"Physical activity (e.g., exercising, sports, walking, bicycling, hiking) "
"09/30/2022 09:12AM","09/30/2022 09:13AM","09/30/2022 09:12AM - 09/30/2022 10:12AM",84.654,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,2,5,1,4,5,3,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"09/30/2022 11:33AM","09/30/2022 11:35AM","09/30/2022 11:32AM - 09/30/2022 12:32PM",132.278,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,6,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",4,6,2,1,6,"Cognitive/Social - discussing payment issue with another person"
"09/30/2022 1:05PM","09/30/2022 1:06PM","09/30/2022 1:04PM - 09/30/2022 2:04PM",78.08,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,4,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",4,4,4,2,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"09/30/2022 6:24PM","09/30/2022 6:25PM","09/30/2022 5:58PM - 09/30/2022 6:58PM",50.858,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,3,1,4,2,4,2,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/01/2022 12:00PM","10/01/2022 12:01PM","10/01/2022 11:53AM - 10/01/2022 12:53PM",53.958,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,2,1,4,2,5,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/01/2022 1:38PM","10/01/2022 1:39PM","10/01/2022 1:03PM - 10/01/2022 2:03PM",38.864,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,2,1,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",5,2,5,1,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/01/2022 5:57PM","10/01/2022 5:57PM","10/01/2022 5:57PM - 10/01/2022 6:57PM",46.886,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,2,3,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",1,4,3,2,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/01/2022 8:00PM","10/01/2022 8:01PM","10/01/2022 7:52PM - 10/01/2022 8:52PM",28.631,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,1,5,5,4,3,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/02/2022 10:05AM","10/02/2022 10:06AM","10/02/2022 09:52AM - 10/02/2022 10:52AM",49.622,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,2,5,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",4,4,5,2,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/02/2022 11:21AM","10/02/2022 11:22AM","10/02/2022 11:21AM - 10/02/2022 12:21PM",48.211,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",5,6,3,3,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"10/02/2022 1:05PM","10/02/2022 1:05PM","10/02/2022 1:03PM - 10/02/2022 2:03PM",24.689,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,3,1,6,3,5,4,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/02/2022 3:14PM","10/02/2022 3:14PM","10/02/2022 3:14PM - 10/02/2022 4:14PM",34.088,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,3,1,6,2,5,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/02/2022 5:16PM","10/02/2022 5:16PM","10/02/2022 5:01PM - 10/02/2022 6:01PM",44.771,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,2,5,2,,,,,1,"BODY: “I was experiencing body sensations, e.g. hunger” ",5,5,3,1,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/02/2022 7:50PM","10/02/2022 7:51PM","10/02/2022 7:50PM - 10/02/2022 8:50PM",44.241,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",3,4,2,1,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/03/2022 09:23AM","10/03/2022 09:24AM","10/03/2022 09:22AM - 10/03/2022 10:22AM",73.809,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,3,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",1,3,3,1,6,"Driving (just parked to take survey)"
"10/03/2022 11:45AM","10/03/2022 11:45AM","10/03/2022 11:34AM - 10/03/2022 12:34PM",30.218,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,2,,,,,2,"EMOTION : “I was experiencing emotions, e.g. sadness""",5,5,4,4,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/03/2022 1:45PM","10/03/2022 1:47PM","10/03/2022 1:39PM - 10/03/2022 2:39PM",81.536,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,2,2,1,6,2,6,3,,,,,,,6,"Crying"
"10/03/2022 3:39PM","10/03/2022 3:43PM","10/03/2022 3:25PM - 10/03/2022 4:25PM",240.588,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,2,,,,,7,"BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”",3,5,3,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/03/2022 6:03PM","10/03/2022 6:03PM","10/03/2022 5:21PM - 10/03/2022 6:21PM",28.111,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,3,1,7,3,5,3,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"10/03/2022 7:58PM","10/03/2022 7:58PM","10/03/2022 7:58PM - 10/03/2022 8:58PM",30.553,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,4,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",1,4,1,1,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"10/04/2022 09:34AM","10/04/2022 09:35AM","10/04/2022 09:34AM - 10/04/2022 10:34AM",38.606,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,2,,,,,4,"MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”",4,5,3,1,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/04/2022 11:45AM","10/04/2022 11:46AM","10/04/2022 11:34AM - 10/04/2022 12:34PM",27.646,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,1,7,3,4,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/04/2022 1:27PM","10/04/2022 1:27PM","10/04/2022 1:27PM - 10/04/2022 2:27PM",26.045,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,1,7,5,3,3,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"10/04/2022 6:35PM","10/04/2022 6:36PM","10/04/2022 5:37PM - 10/04/2022 6:37PM",54.076,"Yes","63364478ee0a2b0b32415222","0.0","0.0","Participant 310",,1,5,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",2,5,2,1,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
